주문번호,주문일시,상품명,구매자성별,구매자나이,주문금액,평점,배송지
1,2025-10-30 22:00:00,모니터,여,59,"1,200,000원",4.0,부산
2,2025-02-05 20:00:00,헤드셋,여,40,"85,000원",5.0,인천
3,2025-08-13 14:00:00,무선마우스,여,51,"1,200,000원",4.0,대구
4,2025-08-05 07:00:00,헤드셋,여,23,"1,200,000원",3.0,광주
5,2025-08-27 22:00:00,헤드셋,남,57,"150,000원",4.0,인천
6,2025-09-19 01:00:00,기계식키보드,여,27,"85,000원",5.0,대구
7,2025-01-20 10:00:00,스마트폰,남,28,"85,000원",2.0,서울
8,2025-07-04 10:00:00,모니터,남,36,"900,000원",2.0,인천
9,2025-08-21 10:00:00,기계식키보드,여,32,"900,000원",4.0,서울
10,2025-12-13 18:00:00,노트북,남,28,"150,000원",4.0,대전
11,2025-03-12 05:00:00,노트북,여,25,"150,000원",4.0,광주
12,2025-02-02 01:00:00,기계식키보드,여,46,"35,000원",1.0,경기
13,2025-10-17 13:00:00,무선마우스,남,56,"300,000원",4.0,광주
14,2025-04-12 09:00:00,기계식키보드,남,58,"300,000원",4.0,대전
15,2025-08-10 07:00:00,기계식키보드,남,43,"1,200,000원",2.0,인천
16,2025-07-30 11:00:00,스마트폰,여,28,"900,000원",5.0,경기
17,2025-09-25 12:00:00,노트북,여,30,"85,000원",5.0,광주
18,2025-02-19 08:00:00,노트북,남,54,"1,200,000원",4.0,서울
19,2025-07-09 19:00:00,모니터,여,48,"85,000원",5.0,경기
20,2025-05-22 01:00:00,헤드셋,여,27,"900,000원",5.0,서울
21,2025-09-24 12:00:00,기계식키보드,남,36,"900,000원",,부산
22,2025-12-28 02:00:00,기계식키보드,여,26,"35,000원",5.0,광주
23,2025-04-17 14:00:00,무선마우스,남,31,"150,000원",5.0,광주
24,2025-11-24 01:00:00,노트북,남,34,"150,000원",5.0,서울
25,2025-03-27 07:00:00,무선마우스,남,48,"150,000원",4.0,부산
26,2025-04-25 11:00:00,스마트폰,여,43,"300,000원",4.0,경기
27,2025-01-08 21:00:00,모니터,남,56,"150,000원",4.0,서울
28,2025-04-24 22:00:00,무선마우스,남,33,"300,000원",4.0,부산
29,2025-05-06 05:00:00,노트북,남,30,"85,000원",1.0,서울
30,2025-07-14 02:00:00,스마트폰,남,54,"1,200,000원",3.0,대구
31,2025-03-21 03:00:00,기계식키보드,여,36,"300,000원",3.0,광주
32,2025-11-19 06:00:00,스마트폰,남,46,"900,000원",,대구
33,2025-02-22 19:00:00,헤드셋,여,22,"35,000원",2.0,경기
34,2025-03-05 16:00:00,무선마우스,남,21,"35,000원",5.0,대구
35,2025-05-29 04:00:00,노트북,여,23,"900,000원",,광주
36,2025-06-12 02:00:00,무선마우스,여,37,"85,000원",5.0,인천
37,2025-08-13 17:00:00,기계식키보드,여,39,"1,200,000원",4.0,부산
